SITE_ID,Approach,Canopy_L1,dLevelsAminusB,tower_order,pair_span,n,prop_positive_FG,prop_cross_grad_flagged,median_FG,median_abs_FG
TALL,MBR,AA,5_4,A above B,1,30,0.6666666666666666,0,0.014561627450296646,0.01949891880133965
YELL,MBR,AW,3_2,A above B,1,12,0.6666666666666666,0,0.008610968435011902,0.010675816151071544
BART,MBR,AA,5_4,A above B,1,9,0.6666666666666666,0,0.003910180137811824,0.005474087071425047
TOOL,MBR,AA,3_2,A above B,1,9,0.6666666666666666,0,0.0027177891017339706,0.0027266738889118697
STEI,MBR,AW,5_3,A above B,2,349,0.664756446991404,0,0.00393246592853759,0.007076411984976189
CPER,MBR,AA,2_1,A above B,1,277,0.6642599277978339,0,0.004720751666030069,0.01026552632314775
YELL,MBR,AW,4_2,A above B,2,110,0.6636363636363637,0,0.0029289064872354015,0.006313242164260054
TEAK,AE,AA,6_5,A above B,1,101,0.6633663366336634,0,7.341087749252982e-4,0.0015347185404956756
TEAK,WP,AA,6_5,A above B,1,98,0.6632653061224489,0,0.12456449440143955,0.275279715702907
DELA,MBR,AW,4_1,A above B,3,3932,0.6627670396744659,0,0.003288784491514,0.009753016866898319
SERC,MBR,AW,5_3,A above B,2,1455,0.6618556701030928,0,0.003278407612891828,0.008790506990729977
UNDE,MBR,AW,6_2,A above B,4,1082,0.6617375231053605,0,0.0037063086464633943,0.006695699296683793
BLAN,MBR,AW,3_2,A above B,1,62,0.6612903225806451,0,0.006267547465909461,0.014833456356154101
UKFS,MBR,AW,5_3,A above B,2,1762,0.6611804767309876,0,0.006917236249474854,0.015466128081676519
OSBS,MBR,AA,5_4,A above B,1,121,0.6611570247933884,0,0.0032121686055757515,0.008006953198666025
STEI,MBR,AA,6_5,A above B,1,298,0.6610738255033557,0,0.0032209724119710704,0.0059133225781061866
ORNL,MBR,AA,5_4,A above B,1,59,0.6610169491525424,0,0.010043313906710741,0.014750796947289395
UKFS,MBR,AW,6_3,A above B,3,2157,0.6606397774687065,0,0.007129377200777546,0.015212077692217885
CPER,MBR,AA,4_2,A above B,2,1588,0.6605793450881612,0,0.003422911045804067,0.008478237807641507
ORNL,MBR,AA,6_4,A above B,2,718,0.6601671309192201,0,0.005936814491995419,0.014321384258252742
DELA,MBR,AW,5_3,A above B,2,1390,0.6597122302158274,0,0.006097427800062323,0.01846954848696517
DELA,AE,AW,4_1,A above B,3,4443,0.6594643259059194,0,2.660845702149191e-4,4.4503163510240434e-4
DELA,AE,AW,4_3,A above B,1,584,0.6592465753424658,0,3.6509913680716805e-4,7.036876431844685e-4
KONA,MBR,AW,3_1,A above B,2,3980,0.6590452261306533,0,0.0031485852320259295,0.006138157625012195
DELA,WP,AW,4_1,A above B,3,4208,0.6589828897338403,0,0.0069023059772816775,0.011656950914302258
BARR,MBR,AA,4_3,A above B,1,82,0.6585365853658537,0,0.0015146060360091054,0.0029045251099402416
DELA,WP,AW,4_3,A above B,1,556,0.658273381294964,0,0.05400582863042867,0.10191964110185583
KONA,MBR,AA,4_3,A above B,1,351,0.6581196581196581,0,0.0023133783984747233,0.006277151503549996
TEAK,WP,AA,6_4,A above B,2,587,0.6575809199318569,0,0.038887785327570534,0.07406010117777138
DSNY,MBR,AA,3_2,A above B,1,73,0.6575342465753424,0,0.0057016955381759575,0.014611301825763989
BARR,MBR,AA,3_1,A above B,2,1715,0.6571428571428571,0,0.0011265001932566046,0.003260505267620492
