SITE_ID,Year,n_30min,n_observed,n_gapfilled,observed_coverage,annual_budget_gC_m2_yr,observed_partial_sum_gC_m2,gapfilled_partial_sum_gC_m2,model_prediction_se_gC,n_training_obs,n_residual_days,daily_residual_sd_gC,gapfilled_days_equiv,residual_block_se_gC,annual_budget_sd_gC_m2_yr,annual_budget_lower95_gC_m2_yr,annual_budget_upper95_gC_m2_yr,quality_flag,n_observed_days,mean_observed_total_gC_m2_day,sd_observed_total_gC_m2_day,observed_scaled_annual_gC_m2_yr,observed_scaled_annual_se_gC_m2_yr,observed_scaled_annual_lower95_gC_m2_yr,observed_scaled_annual_upper95_gC_m2_yr,observed_FG_scaled_annual_gC_m2_yr,observed_storage_scaled_annual_gC_m2_yr,interpretable_budget,annual_budget_interpretable_gC_m2_yr,annual_budget_interpretable_lower95_gC_m2_yr,annual_budget_interpretable_upper95_gC_m2_yr,n_obs,n_fill,prop_obs_positive,prop_fill_positive,mean_obs_mgC,mean_fill_mgC,delta_prop_positive,delta_mean_mgC,observed_sign,gapfilled_sign,sign_flip,flip_direction,annual_budget_difference_gC_m2_yr
SERC,2022,17520,894,16626,0.05102739726027397,0.1386170756217723,0.00701587906012439,0.13160119656164812,8.000637632389664e-4,2084,88,0.00424466247699949,346.375,0.07899806096943714,0.0790021122436366,-0.01622706437575541,0.29346121561930005,moderate observed coverage,42,-1.1691478850463688e-4,0.00411577481824734,-0.04267389780419246,0.2318034123829924,-0.49700858607485754,0.41166079046647264,-0.04336608621312323,6.921884089307248e-4,TRUE,0.1386170756217723,-0.01622706437575541,0.29346121561930005,894,16626,0.6364653243847874,0.6033922771562613,0.007847739440855046,0.007915385333913623,-0.03307304722852611,6.76458930585766e-5,sink,source,TRUE,observed sink -> gapfilled source,0.18129097342596476
SERC,2023,17520,704,16816,0.04018264840182648,0.14194586945310744,-0.00189680636964382,0.14384267582275134,8.020429582956697e-4,2084,88,0.00424466247699949,350.3333333333333,0.07944816901681569,0.0794522172946197,-0.01378047644434715,0.29767221535056204,low observed coverage,37,-6.032529945146473e-4,0.0050311596007252,-0.22018734299784623,0.30189790331575983,-0.8119072334967355,0.37153254750104303,-0.21984600291340592,-3.413400844403256e-4,FALSE,NA,NA,NA,704,16816,0.6264204545454546,0.6186964795432921,-0.002694327229607719,0.008553917449021828,-0.0077239750021624864,0.011248244678629546,sink,source,TRUE,observed sink -> gapfilled source,0.36213321245095365
SERC,2024,17568,158,17410,0.00899362477231329,0.0860477576671265,0.00250251388288655,0.08354524378423989,8.17189146119301e-4,2084,88,0.00424466247699949,362.7083333333333,0.08083918548251924,0.08084331578787256,-0.07240514127710371,0.2445006566113567,very low observed coverage,1,3.72550901199382e-4,NA,0.1363536298389738,NA,NA,NA,0.13461527810304758,0.00173835173592619,FALSE,NA,NA,NA,158,17410,0.6265822784810127,0.5631820792647904,0.015838695461307336,0.004798692922701885,-0.06340019921622231,-0.011040002538605452,source,source,FALSE,same sign,-0.050305872171847316
SJER,2022,17520,848,16672,0.04840182648401826,0.5695827202911716,0.02149500049154394,0.548087719799629,8.363546131863794e-4,1867,52,0.00401565257409564,347.3333333333333,0.07483923915270276,0.07484391228412926,0.4228886522142783,0.716276788368065,low observed coverage,38,0.00112755277187198,0.00216496368212087,0.41155676173327393,0.12818927210169964,0.16030578841394266,0.6628077350526052,0.41051802037508545,0.00103874135818841,FALSE,NA,NA,NA,848,16672,0.6533018867924528,0.8877159309021113,0.02534787793814144,0.03287474327013122,0.2344140441096585,0.00752686533198978,source,source,FALSE,same sign,0.1580259585578977
SJER,2023,17520,561,16959,0.03202054794520548,0.5909696625261196,0.02480529235033794,0.5661643701757828,8.368144077962412e-4,1867,52,0.00401565257409564,353.3125,0.07548065025773538,0.07548528877657992,0.4430184965240229,0.7389208285282163,low observed coverage,12,0.00422571015294169,0.00653609508836525,1.5423842058237176,0.6886849672157924,0.1925616700807644,2.892206741566671,1.5412432433330885,0.00114096249062879,FALSE,NA,NA,NA,561,16959,0.6862745098039216,0.8894982015449024,0.04421620739810683,0.03338430156116432,0.20322369174098087,-0.010831905836942511,source,source,FALSE,same sign,-0.951414543297598
SJER,2024,17568,227,17341,0.01292122040072859,0.5582434402453391,0.0070510607794647,0.5511923794658737,8.399322250431565e-4,1867,52,0.00401565257409564,361.2708333333333,0.07632601387271229,0.0763306352642249,0.4086353951274583,0.70785148536322,low observed coverage,2,1.898932107388069e-4,1.950319820013435e-4,0.06950091513040332,0.05047448794983338,-0.02942908125127009,0.16843091151207673,0.07608446849860928,-0.00658355336820596,FALSE,NA,NA,NA,227,17341,0.6519823788546255,0.8752090421544317,0.031061941759756424,0.031785501382035355,0.22322666329980623,7.235596222789319e-4,source,source,FALSE,same sign,0.48874252511493577
SOAP,2021,17520,516,17004,0.02945205479452055,0.4667190652532719,0.01009381611798945,0.4566252491352819,6.704671877221109e-4,4369,343,0.00244584847225647,354.25,0.04603461094565738,0.04603949316801663,0.37648165864395927,0.5569564718625845,low observed coverage,37,7.682487910752538e-4,0.00187706638144922,0.28041080874246765,0.11263455145854229,0.05964708788372477,0.5011745296012106,0.2781955210738134,0.0022152876686542,FALSE,NA,NA,NA,516,17004,0.6453488372093024,0.8477417078334509,0.019561659143390416,0.026853990186737373,0.20239287062414857,0.007292331043346957,source,source,FALSE,same sign,0.18630825651080424
SOAP,2022,17520,1809,15711,0.10325342465753425,0.5018156703785438,0.0391220568160977,0.4626936135624464,6.530838992654134e-4,4369,343,0.00244584847225647,327.3125,0.04424975223219225,0.04425457141572928,0.4150767104037144,0.5885546303533732,moderate observed coverage,149,9.242254247768536e-4,0.00205979110607493,0.3373422800435516,0.06159180176496995,0.2166223485842105,0.4580622115028927,0.33710249454597985,2.397854975717507e-4,TRUE,0.5018156703785438,0.4150767104037144,0.5885546303533732,1809,15711,0.6451077943615257,0.8732098529692572,0.021626344287505643,0.029450296834221016,0.22810205860773158,0.007823952546715373,source,source,FALSE,same sign,0.1644733903349922
SOAP,2023,17520,1407,16113,0.08030821917808219,0.4574674350552764,0.02369773896320915,0.43376969609206745,6.582857394526448e-4,4369,343,0.00244584847225647,335.6875,0.04481228945429236,0.0448171242523441,0.36962587152068194,0.5453089985898708,moderate observed coverage,113,8.063753652483564e-4,0.00249941904275831,0.2943270083156501,0.08582083131107066,0.12611817894595165,0.46253583768534856,0.29374989825197373,5.771100636763316e-4,TRUE,0.4574674350552764,0.36962587152068194,0.5453089985898708,1407,16113,0.6261549395877755,0.8644572705269037,0.016842742688848,0.02692048011494252,0.23830233093912823,0.01007773742609452,source,source,FALSE,same sign,0.16314042673962625
SOAP,2024,17568,637,16931,0.03625910746812386,0.43057117238381143,0.00320341449730637,0.4273677578865052,6.727874358038096e-4,4369,343,0.00244584847225647,352.7291666666667,0.04593568889386084,0.04594061554972186,0.3405275659063566,0.5206147788612663,low observed coverage,44,2.066655093799555e-4,0.00221462496445346,0.07563957643306372,0.12219542279051585,-0.1638634522363473,0.31514260510247477,0.07639805360407645,-7.584771710127216e-4,FALSE,NA,NA,NA,637,16931,0.5886970172684458,0.8397023211859902,0.005028908159036703,0.025241731609857928,0.2510053039175444,0.020212823450821225,source,source,FALSE,same sign,0.3549315959507477
