SITE_ID,Year,n_30min,n_observed,observed_coverage,n_training_obs,annual_budget_gC_m2_yr,model_only_annual_budget_gC_m2_yr,observed_partial_gC_m2,gapfilled_partial_gC_m2,source_state,log_abs_flux,ERA5_Tair_C_annual,ERA5_Tair_C_sd_annual,ERA5_VSWC_annual,ERA5_VSWC_sd_annual,MAP,MAT,acidity,carbonTot,nitrogenTot,sulfurTot,clayTotal,sandTotal,bulkDensOvenDry,LAI.mean,canopyHeight_m,EcoType,ERA5_Tair_C_annual_site_mean,ERA5_Tair_C_annual_within_site,ERA5_VSWC_annual_site_mean,ERA5_VSWC_annual_within_site
MOAB,2024,17568,1491,0.084870218579235,9867,0.412886051275759,0.4152626864957,0.0386169181652732,0.374269133110485,1,-0.3841697878009695,13.109079007285985,10.867775942232637,0.1031195070582882,0.0721790344995385,319.46,10.1,0.35,0.0568181818181818,0.411363636363636,0.0568181818181818,14.9863636363636,67.5272727272727,1.57285714285714,0.206745419107119,0.2,Shrubland,12.47726119017765,0.6318178171083346,0.10382344126228898,-7.039342040007779e-4
NIWO,2021,17520,7,3.99543378995434e-4,152,0.818718348249241,0.819111712237945,-1.58227150983668e-4,0.818876575400225,1,-0.08686547602256914,-1.4364155251142794,10.138492717609495,0.2701546518264839,0.08705936657182343,1004.54,0.3,21.7769230769231,0.217307692307692,2.34615384615385,0.217307692307692,11.4489361702128,60.0553191489362,1.33777777777778,0.600909602467655,0.6,Forest,-1.7808149721941429,0.3443994470798635,0.26992134108637755,2.3331074010635167e-4
NIWO,2022,17520,94,0.00536529680365297,152,0.813929118619341,0.80788045404131,0.011255928864873,0.802673189754468,1,-0.0894134136593386,-2.400382420091313,10.851010731576372,0.2666123858447491,0.07053914154484654,1004.54,0.3,21.7769230769231,0.217307692307692,2.34615384615385,0.217307692307692,11.4489361702128,60.0553191489362,1.33777777777778,0.600909602467655,0.6,Forest,-1.7808149721941429,-0.61956744789717,0.26992134108637755,-0.003308955241628442
NIWO,2023,17520,39,0.00222602739726027,152,0.833168176540054,0.834377813424943,3.6180983726153e-4,0.832806366702793,1,-0.07926732607748666,-2.1877796803651326,10.068376523179968,0.28968047945205494,0.06758208021582326,1004.54,0.3,21.7769230769231,0.217307692307692,2.34615384615385,0.217307692307692,11.4489361702128,60.0553191489362,1.33777777777778,0.600909602467655,0.6,Forest,-1.7808149721941429,-0.40696470817098973,0.26992134108637755,0.019759138365677387
NIWO,2024,17568,12,6.83060109289617e-4,152,0.829127959674291,0.829410958583349,-8.99487646434999e-6,0.829136954550755,1,-0.08137843889940281,-1.0986822632058468,10.052839088830067,0.25323784722222215,0.0685609966247301,1004.54,0.3,21.7769230769231,0.217307692307692,2.34615384615385,0.217307692307692,11.4489361702128,60.0553191489362,1.33777777777778,0.600909602467655,0.6,Forest,-1.7808149721941429,0.682132708988296,0.26992134108637755,-0.016683493864155408
NOGP,2021,17520,591,0.0337328767123288,9136,0.985653229622091,0.983191305063654,0.0364183427684,0.949234886853691,1,-0.006275850288021543,8.161680936073116,13.748090780684983,0.23989728881278555,0.0535349493833778,456.51,5.9,5.56585365853658,0.251190476190476,1.45714285714286,0.251190476190476,30.8678571428571,31.1559523809524,1.38920634920635,0.947648861128242,0.4,Grassland,6.756146673512795,1.4055342625603213,0.27563205095815546,-0.035734762145369914
NOGP,2022,17520,4546,0.259474885844749,9136,0.894087493887545,0.922311729634253,0.204559660577557,0.68952783330999,1,-0.04861997931645712,5.388764269406128,14.465422664590813,0.263957248858447,0.06331196289176276,456.51,5.9,5.56585365853658,0.251190476190476,1.45714285714286,0.251190476190476,30.8678571428571,31.1559523809524,1.38920634920635,0.947648861128242,0.4,Grassland,6.756146673512795,-1.3673824041066673,0.27563205095815546,-0.011674802099708448
NOGP,2023,17520,2697,0.153938356164384,9136,1.00753351789442,0.952190882404959,0.189882642108642,0.817650875785782,1,0.0032595032783968884,6.258701484018096,13.292143190874029,0.30473889840182633,0.0560294808058716,456.51,5.9,5.56585365853658,0.251190476190476,1.45714285714286,0.251190476190476,30.8678571428571,31.1559523809524,1.38920634920635,0.947648861128242,0.4,Grassland,6.756146673512795,-0.49744518949469896,0.27563205095815546,0.02910684744367087
NOGP,2024,17568,1302,0.0741120218579235,9136,0.915354237120086,0.941332877734702,0.0512108318899267,0.864143405230158,1,-0.038410803323084455,7.21544000455384,12.502371766561275,0.2939347677595629,0.05755846705798438,456.51,5.9,5.56585365853658,0.251190476190476,1.45714285714286,0.251190476190476,30.8678571428571,31.1559523809524,1.38920634920635,0.947648861128242,0.4,Grassland,6.756146673512795,0.45929333104104497,0.27563205095815546,0.018302716801407437
OAES,2021,17520,854,0.0487442922374429,9422,0.883709043537171,0.867416244869734,0.0578200185420005,0.82588902499517,1,-0.05369070009028243,15.790419520547893,10.737585204536858,0.23309095319634693,0.06929580261835416,778.85,15.5,2.65,0.135897435897436,1.55641025641026,0.135897435897436,19.2410256410256,16.4974358974359,1.42655172413793,0.425468253550966,1.5,Grassland,16.417601679267353,-0.6271821587194601,0.22951924810365049,0.003571705092696442
OAES,2022,17521,4627,0.264083100279664,9422,0.872574067780935,0.912088809963225,0.180688732256927,0.691885335524005,1,-0.05919769755213996,16.127397260274126,12.225758568428251,0.21565542237442945,0.07247617920014197,778.85,15.5,2.65,0.135897435897436,1.55641025641026,0.135897435897436,19.2410256410256,16.4974358974359,1.42655172413793,0.425468253550966,1.5,Grassland,16.417601679267353,-0.2902044189932269,0.22951924810365049,-0.013863825729221041
OAES,2023,17520,2706,0.154452054794521,9422,0.931641373893344,0.917642330075495,0.155314612040384,0.77632676185296,1,-0.03075123236486141,16.463541666666565,10.570030664431396,0.2397245148401826,0.06963365608494591,778.85,15.5,2.65,0.135897435897436,1.55641025641026,0.135897435897436,19.2410256410256,16.4974358974359,1.42655172413793,0.425468253550966,1.5,Grassland,16.417601679267353,0.0459399873992119,0.22951924810365049,0.010205266736532104
OAES,2024,17568,1235,0.0702982695810565,9422,0.922043878660958,0.910901361027685,0.0758814016652315,0.846162476995727,1,-0.03524841057200535,17.289048269580825,10.90845592679554,0.22960610200364295,0.07084170505535795,778.85,15.5,2.65,0.135897435897436,1.55641025641026,0.135897435897436,19.2410256410256,16.4974358974359,1.42655172413793,0.425468253550966,1.5,Grassland,16.417601679267353,0.8714465903134716,0.22951924810365049,8.685389999246729e-5
ONAQ,2021,17520,424,0.0242009132420091,1680,0.13236740047237,0.134756212959666,0.00241865952277073,0.1299487409496,1,-0.8782189567680198,12.171815068493313,11.701024916239696,0.1414713184931512,0.10798839434061495,288.31,9,1.4,0.225,0.7225,0.225,20.305,35.85,1.293125,0.319775537152505,1,Shrubland,11.955099304931792,0.21671576356152045,0.1424478919096366,-9.7657341648541e-4
ONAQ,2022,17520,304,0.017351598173516,1680,0.127864264721043,0.123656934038441,0.00363092750222432,0.124233337218819,1,-0.8932508110220689,11.764691780821973,12.232637380402354,0.12442271689497741,0.10535054568889936,288.31,9,1.4,0.225,0.7225,0.225,20.305,35.85,1.293125,0.319775537152505,1,Shrubland,11.955099304931792,-0.1904075241098191,0.1424478919096366,-0.018025175014659195
ONAQ,2023,17520,643,0.0367009132420091,1680,0.143571449692968,0.142550175373602,2.10377667249032e-4,0.143361072025718,1,-0.842931911341498,10.945542237442789,11.616132834615708,0.16728847031963467,0.12258287061129108,288.31,9,1.4,0.225,0.7225,0.225,20.305,35.85,1.293125,0.319775537152505,1,Shrubland,11.955099304931792,-1.0095570674890038,0.1424478919096366,0.024840578409998065
ONAQ,2024,17568,309,0.0175887978142076,1680,0.13615075231044,0.139399696467203,1.20400962776797e-4,0.136030351347663,1,-0.8659799514032515,12.938348132969097,10.956898302752023,0.13660906193078315,0.11907033781976624,288.31,9,1.4,0.225,0.7225,0.225,20.305,35.85,1.293125,0.319775537152505,1,Shrubland,11.955099304931792,0.9832488280373042,0.1424478919096366,-0.00583882997885346
