SITE_ID,n_months,prop_source_months,prop_sink_months,prop_source_gradient_months,mean_CH4_mgC_30min,median_CH4_mgC_30min,sd_monthly_CH4,mean_gradient_mgC_30min,median_gradient_mgC_30min,mean_storage_mgC_30min,median_storage_mgC_30min,median_storage_abs_fraction,sign_changes,CH4_behavior,CH4_gradient_behavior,behavior_changed_from_gradient,MAP,MAT,acidity,carbonTot,nitrogenTot,sulfurTot,clayTotal,sandTotal,bulkDensOvenDry,LAI.mean,canopyHeight_m,EcoType
NOGP,33,1,0,1,0.047119613008247026,0.028392683894392312,0.04084153217992208,0.04712578991263098,0.028397172282047217,-6.176904383950358e-6,-6.334127387914881e-6,0.0016447815318473141,0,Consistent source,Consistent source,FALSE,456.51,5.9,5.56585365853658,0.251190476190476,1.45714285714286,0.251190476190476,30.8678571428571,31.1559523809524,1.38920634920635,0.947648861128242,0.4,Grassland
OAES,34,0.9411764705882353,0.05882352941176472,0.9411764705882353,0.04755114176779353,0.03628039664429199,0.035818892804772844,0.0476032740150257,0.036334256880325586,-5.213224723216478e-5,-4.7138948262942874e-5,0.003589955166834082,2,Consistent source,Consistent source,FALSE,778.85,15.5,2.65,0.135897435897436,1.55641025641026,0.135897435897436,19.2410256410256,16.4974358974359,1.42655172413793,0.425468253550966,1.5,Grassland
ONAQ,28,0.5714285714285714,0.4285714285714286,0.5714285714285714,0.006497465987375149,0.0012814727206326266,0.016456122463539277,0.006495925510001242,0.0012764233761914743,1.5404773739053822e-6,9.701668154088823e-7,0.042307891226127374,14,Fluctuating,Fluctuating,FALSE,288.31,9,1.4,0.225,0.7225,0.225,20.305,35.85,1.293125,0.319775537152505,1,Shrubland
ORNL,29,0.7931034482758621,0.2068965517241379,0.7931034482758621,0.039820319800713766,0.023613234835659327,0.0586221906543862,0.03981687525159518,0.02348988134917148,3.444549118593793e-6,3.662625851605268e-5,0.04025541187932196,8,Consistent source,Consistent source,FALSE,1340.32,14.4,16.8493150684932,0.19041095890411,1.97808219178082,0.19041095890411,26.3294117647059,29.9205882352941,1.47533333333333,2.49908057331099,28,Forest
RMNP,12,0.75,0.25,0.75,0.04492883567784358,0.05745696420561833,0.14033879066641075,0.04488383612749432,0.057431511194498935,4.499955034925384e-5,3.8530256493444795e-5,0.005702492436669024,6,Consistent source,Consistent source,FALSE,730.59,2.9,18.3981818181818,0.12,2.43272727272727,0.12,8.62553191489362,68.0787234042553,1.52166666666667,0.47768733293369,11,Forest
SCBI,35,0.8,0.19999999999999996,0.8,0.022576493062927493,0.024898422840546393,0.036052777582983885,0.022559450867753975,0.02481450179426942,1.7042195173518783e-5,-1.2318958130405976e-6,0.08144094388621496,10,Consistent source,Consistent source,FALSE,1125.5,11.6,17.7473684210526,0.175862068965517,2.09080459770115,0.175862068965517,33.0440476190476,17.7071428571429,1.45808823529412,2.4994257118127,30,Forest
SERC,33,0.6060606060606061,0.3939393939393939,0.6060606060606061,0.007435372293268281,0.0038222853267812296,0.040409242909408165,0.007503911895252818,0.003930108403882399,-6.853960198453857e-5,-8.654576771807899e-5,0.06136878348172004,12,Fluctuating,Fluctuating,FALSE,1074.65,13.6,14.2223684210526,0.144565217391304,0.915217391304348,0.144565217391304,25.1717391304348,52.3728260869565,1.56258426966292,2.02464201879214,37.19,Forest
SJER,35,0.8571428571428571,0.1428571428571429,0.8571428571428571,0.02880905979116322,0.02875809746188849,0.037694742472254565,0.0287924464650946,0.028678870220030506,1.661332606862211e-5,-5.475821513348309e-6,0.07698486016157992,8,Consistent source,Consistent source,FALSE,539.62,16.4,3.01714285714286,0.00571428571428571,0.685714285714286,0.00571428571428571,7.34285714285714,79.4028571428571,1.68484848484848,0.747962446688153,12,Forest
SOAP,33,0.8484848484848485,0.1515151515151515,0.8484848484848485,0.016935150715252652,0.015894280929820516,0.01828310801393179,0.016924885898373286,0.0158959825041378,1.026481687936328e-5,-1.7021317446537836e-6,0.0434357684621189,10,Consistent source,Consistent source,FALSE,900.35,13.4,21.5851063829787,0.340425531914894,2.72553191489362,0.340425531914894,13.8682926829268,63.3487804878049,1.36,1.16416068302891,24.4,Forest
SRER,29,1,0,1,0.015491220571768686,0.012100002114893125,0.012048935319106564,0.015496791798989974,0.012110406210165294,-5.571227221291591e-6,-5.892204862356316e-6,0.003957174156743846,0,Consistent source,Consistent source,FALSE,346,19.3,1.35609756097561,0.025,0.495833333333333,0.025,10.820833333333301,74.1729166666667,1.51297115384615,0.444702824360855,2,Shrubland
STEI,31,0.6451612903225806,0.3548387096774194,0.6451612903225806,-0.0030769174473525614,0.002935929843932955,0.028146753353025376,-0.003053270658170892,0.0029407492377399795,-2.364678918166975e-5,-2.4219282559751685e-5,0.11195650811438776,11,Fluctuating,Fluctuating,FALSE,797.56,4.8,18.325,0.25,2.4375,0.25,5.864,68.7986666666667,1.39363636363636,1.61311471500752,9.5,Forest
STER,33,0.9393939393939394,0.06060606060606055,0.9393939393939394,0.02321866465373492,0.018094525065077045,0.026310968079445576,0.02322979178567747,0.018149524515061657,-1.1127131942546456e-5,-3.1115309413120657e-6,0.003524417852504785,4,Consistent source,Consistent source,FALSE,432.67,9.7,4.15,0.0755102040816327,0.959183673469388,0.0755102040816327,23.4183673469388,43.8795918367347,1.46295454545455,0.437887662867265,3,Cropland
TALL,31,0.8709677419354839,0.12903225806451613,0.8709677419354839,0.00525951297540958,0.03001639773998351,0.18851073517234238,0.005523341233195891,0.030040055367081202,-2.638282577863128e-4,-1.4146349508173847e-4,0.012409621997925368,6,Consistent source,Consistent source,FALSE,1382.68,17.2,9.31153846153846,0.0326923076923077,0.780769230769231,0.0326923076923077,13.7894230769231,67.5086538461538,1.571,1.08305146812169,25,Forest
TREE,34,0.8529411764705882,0.1470588235294118,0.8529411764705882,0.003199332983003577,0.0072835826545332594,0.04654862214323798,0.0032381586152667873,0.0073565519277524645,-3.88256322632124e-5,-1.9867759250885966e-5,0.13291407824233423,8,Consistent source,Consistent source,FALSE,797.56,4.8,22.0183333333333,0.366666666666667,3.01166666666667,0.366666666666667,3.19038461538462,84.3769230769231,1.51297115384615,1.02028354835506,24,Forest
UKFS,28,0.5,0.5,0.5,-0.006235636569266985,-0.0032267478779659164,0.04719377627772769,-0.0063324699132187535,-0.0031554403763976537,9.683334395176923e-5,5.6031977583777254e-5,0.09031200954820173,9,Fluctuating,Fluctuating,FALSE,990.63,12.7,20.5307692307692,0.130985915492958,2.11267605633803,0.130985915492958,43.7098591549296,7.48732394366197,1.71173913043478,2.33084356361247,18,Forest
UNDE,35,0.7428571428571429,0.2571428571428571,0.7428571428571429,0.010537529469291932,0.0066306025343478535,0.02113652364670661,0.01053877569464434,0.006790383217173729,-1.2462253524074827e-6,-1.2741538175253213e-5,0.15702917145834538,14,Fluctuating,Fluctuating,FALSE,802.3,4.3,46.7173913043478,0.642028985507246,4.91594202898551,0.642028985507246,5.10566037735849,63.8830188679245,1.7825,2.30936065569582,23,Forest
WOOD,33,0.9696969696969697,0.030303030303030276,0.9696969696969697,0.014107113539265746,0.009721217634458336,0.01160652523591636,0.014113476774580754,0.009728248775372343,-6.363235315006522e-6,-4.691566060848729e-6,0.0019458520928208527,2,Consistent source,Consistent source,FALSE,493.76,4.9,6.84545454545455,1.66323529411765,3.40441176470588,1.66323529411765,29.7940298507463,35.8417910447761,1.50625,0.817542376858546,0.5,Grassland
WREF,26,0.5769230769230769,0.42307692307692313,0.5769230769230769,0.031193704567805895,0.01040065838539703,0.13299168115960322,0.03110217843457774,0.010248454972148118,9.152613322815681e-5,5.956645099497488e-5,0.004836995290993098,16,Fluctuating,Fluctuating,FALSE,2225.01,9.2,49.7019230769231,0.467307692307692,3.06923076923077,0.467307692307692,11.8717948717949,52.7153846153846,0.998,1.02028354835506,53,Forest
YELL,25,0.76,0.24,0.76,0.01257179989783985,0.01248733409384633,0.02904140457810958,0.012595078080659409,0.012513499202849174,-2.3278182819559543e-5,-2.4037891196011438e-5,0.003740444031864498,8,Consistent source,Consistent source,FALSE,493.44,3.4,12.3777777777778,0.89047619047619,2.32619047619048,0.89047619047619,15.3675,50.9725,1.42545454545455,0.577602406994865,16,Forest
