scale,response,driver,driver_value,fit,lwr,upr
30 min,magnitude_log_abs,Tair_C_within_site,5.451915915031666,-2.7659155284396784,-3.0227205794991816,-2.509110477380175
30 min,magnitude_log_abs,Tair_C_within_site,5.904713389981147,-2.764715604517965,-3.0215133623237094,-2.5079178467122203
30 min,magnitude_log_abs,Tair_C_within_site,6.348950057264953,-2.763642864904101,-3.0204354003195855,-2.506850329488617
30 min,magnitude_log_abs,Tair_C_within_site,6.8063294950827995,-2.7626531341949354,-3.019442359700713,-2.505863908689158
30 min,magnitude_log_abs,Tair_C_within_site,7.216098360395703,-2.761871208594225,-3.018659285891333,-2.5050831312971176
30 min,magnitude_log_abs,Tair_C_within_site,7.656165272330381,-2.7611482868422423,-3.017937061292323,-2.5043595123921616
30 min,magnitude_log_abs,Tair_C_within_site,8.09745740597725,-2.7605518276890977,-3.0173433072557407,-2.5037603481224546
30 min,magnitude_log_abs,Tair_C_within_site,8.555257213989153,-2.7600768932835904,-3.0168732814486097,-2.503280505118571
30 min,magnitude_log_abs,Tair_C_within_site,8.997736352506212,-2.7597648059237403,-3.0165679376937433,-2.5029616741537373
30 min,magnitude_log_abs,Tair_C_within_site,9.459138852981784,-2.7596014716847592,-3.0164136796875,-2.5027892636820184
30 min,magnitude_log_abs,Tair_C_within_site,9.940475836976272,-2.759616485428872,-3.016440326354208,-2.5027926445035362
30 min,magnitude_log_abs,Tair_C_within_site,10.411939280227955,-2.759823634372915,-3.016660955219888,-2.502986313525942
30 min,magnitude_log_abs,Tair_C_within_site,10.88517490577578,-2.760231667581555,-3.0170845506026,-2.50337878456051
30 min,magnitude_log_abs,Tair_C_within_site,11.399326557802034,-2.7609116063497225,-3.0177836820627433,-2.504039530636702
30 min,magnitude_log_abs,Tair_C_within_site,11.936934749694823,-2.761896192520983,-3.01879090820569,-2.505001476836276
30 min,magnitude_log_abs,Tair_C_within_site,12.519548721066958,-2.7632901407654207,-3.0202124845930647,-2.5063677969377767
30 min,magnitude_log_abs,Tair_C_within_site,13.166265282834601,-2.765248069158488,-3.022205176669687,-2.508290961647289
30 min,magnitude_log_abs,Tair_C_within_site,13.89449963900012,-2.767983219123126,-3.024985388911926,-2.510981049334326
30 min,magnitude_log_abs,Tair_C_within_site,14.69555838265985,-2.771652310902733,-3.0287128354060897,-2.514591786399376
30 min,magnitude_log_abs,Tair_C_within_site,15.688619634346825,-2.777166644378807,-3.034315977154232,-2.520017311603382
30 min,source_probability,VSWCMean_within_site,-0.09291128717676289,0.5339751080893332,0.4644590691525679,0.6021961637223097
30 min,source_probability,VSWCMean_within_site,-0.08307838296009568,0.5239855701194035,0.45464534034907733,0.5924132477801014
30 min,source_probability,VSWCMean_within_site,-0.078185643052151907,0.5190958331330034,0.44984802644858096,0.5876177047718023
30 min,source_probability,VSWCMean_within_site,-0.07289990172329192,0.5141334969655392,0.444983900159159,0.5827462090991887
30 min,source_probability,VSWCMean_within_site,-0.06878698004059652,0.5106291340936792,0.441551510037481,0.5793031924144644
30 min,source_probability,VSWCMean_within_site,-0.06541639098039523,0.5080588139380724,0.4390354076712258,0.576776349478803
30 min,source_probability,VSWCMean_within_site,-0.062367833379282867,0.5060077274799247,0.4370285997187039,0.5747588941714874
30 min,source_probability,VSWCMean_within_site,-0.05846712484157146,0.50380896001732145,0.4348787231597133,0.572594709517072
30 min,source_probability,VSWCMean_within_site,-0.05288549136853083,0.5015820532404186,0.4327047424564564,0.5703993725737829
30 min,source_probability,VSWCMean_within_site,-0.0490868914218895,0.5007307854143942,0.4318774386249479,0.5695564273341875
30 min,source_probability,VSWCMean_within_site,-0.04794547876167078,0.5005837762893701,0.43173573462110987,0.5694096879993417
30 min,source_probability,VSWCMean_within_site,-0.04473086285739081,0.5004434877467696,0.43160585384204914,0.5692643135845964
30 min,source_probability,VSWCMean_within_site,-0.042822956414978935,0.500551699973904,0.43171722976011473,0.5693652640644923
30 min,source_probability,VSWCMean_within_site,-0.0371172858185274,0.5017155342704549,0.4328787541820487,0.5704873424706102
30 min,source_probability,VSWCMean_within_site,-0.03233254063148798,0.5036256553795947,0.43477613380455093,0.5723379514826348
30 min,source_probability,VSWCMean_within_site,-0.029335883782836303,0.5052266056477992,0.4363657292401119,0.573889760745353
30 min,source_probability,VSWCMean_within_site,-0.02608643334743578,0.5072858803876491,0.43841102369734586,0.5758852854724976
30 min,source_probability,VSWCMean_within_site,-0.02464400272310012,0.5082998720026666,0.4394185508773655,0.576867502402797
30 min,source_probability,VSWCMean_within_site,-0.02304026411070282,0.5094941537664552,0.44060563083120263,0.5780239783697286
30 min,source_probability,VSWCMean_within_site,-0.021360911025392462,0.5108154706536646,0.4419195306084674,0.5793029563577604
30 min,source_probability,VSWCMean_within_site,-0.020112625063605033,0.5118413110927744,0.44294002594098447,0.5802955411584698
30 min,source_probability,VSWCMean_within_site,-0.016984186831039083,0.5145590211178589,0.44564537045049907,0.5829234773085302
30 min,source_probability,VSWCMean_within_site,-0.015457129863768487,0.5159528069086535,0.4470338405738834,0.5842702673485838
30 min,source_probability,VSWCMean_within_site,-0.013082939606774063,0.5181928008531475,0.44926676161807894,0.5864333663181726
30 min,source_probability,VSWCMean_within_site,-0.009425547691036165,0.5217783736188921,0.45284479783631987,0.589892339628311
30 min,source_probability,VSWCMean_within_site,-0.005195287468818019,0.5260469234125098,0.457110461571048,0.5940045406978465
30 min,source_probability,VSWCMean_within_site,-0.0034527018657422304,0.5278184467812431,0.45888273435248655,0.5957093780632692
30 min,source_probability,VSWCMean_within_site,-0.0019523705208566028,0.5293408348150688,0.4604066827564594,0.5971736134587465
30 min,source_probability,VSWCMean_within_site,7.069242159496447e-5,0.5313801904634565,0.4624494627841874,0.5991338404559902
30 min,source_probability,VSWCMean_within_site,0.00206680716556297,0.5333664272957979,0.4644405146916701,0.601041648242397
30 min,source_probability,VSWCMean_within_site,0.0045352677327224755,0.5357698534564579,0.4668517446594233,0.603348355113788
30 min,source_probability,VSWCMean_within_site,0.0059429415034965155,0.5371067713615387,0.4681939550911516,0.6046305987853442
30 min,source_probability,VSWCMean_within_site,0.009401891766311413,0.5402600385363203,0.4713624705280341,0.6076523744029579
30 min,source_probability,VSWCMean_within_site,0.01101621463019481,0.5416560561053549,0.4727665174316978,0.6089890057643732
30 min,source_probability,VSWCMean_within_site,0.012444321428730393,0.5428450625510249,0.4739630059641087,0.6101268425629963
30 min,source_probability,VSWCMean_within_site,0.014286563175673755,0.5443093583836209,0.47543736025218,0.6115273479728838
30 min,source_probability,VSWCMean_within_site,0.016287466611702536,0.5458035402828816,0.47694281464151295,0.6129555128110743
30 min,source_probability,VSWCMean_within_site,0.018476377491679963,0.5473137785703508,0.4784655579849502,0.6143980051362641
30 min,source_probability,VSWCMean_within_site,0.019420602715566296,0.5479226900241141,0.47907985229214867,0.6149792891324782
30 min,source_probability,VSWCMean_within_site,0.021451565349572793,0.5491408695703289,0.48030944793369523,0.6161416025521121
30 min,source_probability,VSWCMean_within_site,0.02436481940023061,0.5506587533921586,0.481842949392491,0.6175885923882318
30 min,source_probability,VSWCMean_within_site,0.025632633086864365,0.5512309459158508,0.48242151926476634,0.6181336073887289
30 min,source_probability,VSWCMean_within_site,0.027195397210530173,0.5518598892572202,0.4830578701849754,0.6187323089307727
30 min,source_probability,VSWCMean_within_site,0.028517063352755778,0.5523245871366714,0.4835283810598941,0.6191743464794716
30 min,source_probability,VSWCMean_within_site,0.029963110291220174,0.5527611254683445,0.48397074204720264,0.6195892600668477
30 min,source_probability,VSWCMean_within_site,0.03276325891134131,0.5533888065903907,0.4846078812006462,0.6201848309204366
30 min,source_probability,VSWCMean_within_site,0.035579149469102705,0.5537257285821644,0.48495157180746673,0.6205029260314217
30 min,source_probability,VSWCMean_within_site,0.03722559542423515,0.5537847162514815,0.4850131124829784,0.6205573283321011
30 min,source_probability,VSWCMean_within_site,0.04032100134270772,0.5536197280150245,0.48484991435418423,0.6203967453368422
30 min,source_probability,VSWCMean_within_site,0.042824425805499285,0.5532249044790011,0.48445354166511656,0.6200179626659886
